sample_id,big_region,sub_region,fastq1,fastq2
population7_PE2-7,population7,PE2-7,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-7/FP150001913BR_L01_395_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-7/FP150001913BR_L01_395_2.fq.gz
population7_PE2-8,population7,PE2-8,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-8/FP150001913BR_L01_438_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-8/FP150001913BR_L01_438_2.fq.gz
population7_PE2-9,population7,PE2-9,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-9/FP150001913BR_L01_439_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-9/FP150001913BR_L01_439_2.fq.gz
population7_PE3-1,population7,PE3-1,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-1/FP150001913BR_L01_441_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-1/FP150001913BR_L01_441_2.fq.gz
population7_PE3-10,population7,PE3-10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-10/FP150001913BR_L01_401_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-10/FP150001913BR_L01_401_2.fq.gz
population7_PE3-11,population7,PE3-11,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-11/FP150001911BR_L01_402_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-11/FP150001911BR_L01_402_2.fq.gz
population7_PE3-12,population7,PE3-12,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-12/FP150001913BR_L01_446_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-12/FP150001913BR_L01_446_2.fq.gz
population7_PE3-2,population7,PE3-2,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-2/FP150001913BR_L01_442_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-2/FP150001913BR_L01_442_2.fq.gz
population7_PE3-3,population7,PE3-3,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-3/FP150001913BR_L01_443_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-3/FP150001913BR_L01_443_2.fq.gz
population7_PE3-4,population7,PE3-4,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-4/FP150001913BR_L01_444_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-4/FP150001913BR_L01_444_2.fq.gz
