sample,number_id,temp,phase,time,time_h,t_eff_h,replicate,pos_file,pos_inj,neg_file,neg_inj,sample_type
HT40_T7d_R1,250045014,40,stress_40_T7d,7d,168.0,168.0,R1,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045014-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C12_FZTM250045014-1A.mzXML,1A,biological
HT40_T7d_R2,250045015,40,stress_40_T7d,7d,168.0,168.0,R2,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045015-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C12_FZTM250045015-1A.mzXML,1A,biological
HT40_T7d_R3,250045016,40,stress_40_T7d,7d,168.0,168.0,R3,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045016-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C12_FZTM250045016-1A.mzXML,1A,biological
HT40_T7d_R4,250045017,40,stress_40_T7d,7d,168.0,168.0,R4,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045017-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C12_FZTM250045017-1A.mzXML,1A,biological
HT40_T7d_R5,250045018,40,stress_40_T7d,7d,168.0,168.0,R5,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C12_FZTM250045018-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C12_FZTM250045018-1A.mzXML,1A,biological
CK25_T14d_R1,250059097,25,control_25_T14d,14d,336.0,336.0,R1,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059097-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C1_FZTM250059097-1A.mzXML,1A,biological
CK25_T14d_R2,250059098,25,control_25_T14d,14d,336.0,336.0,R2,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059098-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C1_FZTM250059098-1A.mzXML,1A,biological
CK25_T14d_R3,250059099,25,control_25_T14d,14d,336.0,336.0,R3,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059099-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C1_FZTM250059099-1A.mzXML,1A,biological
CK25_T14d_R4,250059100,25,control_25_T14d,14d,336.0,336.0,R4,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059100-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C1_FZTM250059100-1A.mzXML,1A,biological
CK25_T14d_R5,250059101,25,control_25_T14d,14d,336.0,336.0,R5,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C1_FZTM250059101-1A.mzXML,1A,/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/NEG/HF3_C1_FZTM250059101-1A.mzXML,1A,biological
